index,question,label
600,برخی از عوارض ناشی از تزریق چیست؟,1
601,شریان بعدی چیست؟,1
602,شریان بعدی چیست؟,1
603,چه شاخه ای از ماندبولار شما به شریان بعدی تخلیه می شود؟,1
604,نام دیگر شریان کاروتید داخلی چیست؟,1
605,خواب شریان داخلی شریان پایداری داخلی چیست؟,-1
606,مهم ترین اشکال شریان کاروتید به دلیل عبور یک سری رگ ها و اعصاب چه هستند؟,1
607,هدف از شریان اکسی پایتال چیه؟,1
608,شریان بعدی چیه؟,1
609,از چه بخشی از شریان اکسی پایتال سرچشمه می گیرد؟,-1
610,شریان اکسیپیتال چه عرضه ای دارد؟,-1
611,شریان بعدی چیه؟,1 
612,شریان بعدی از چه است؟,1
613,مهمترین اشکال شریان کاروتید به دلیل عبور از یک سری عروق و اعصاب چیست؟,1
614,هدف شریان اکسیپیتال چیست؟,1
615,شریان بعدی چیست؟,1
616,از کدام قسمت از شریان اکسیپیتال سرچشمه می گیرد؟,-1
617,شریان اکسیپیتال چه چیزی را تأمین می کند؟,1
618,شریان بعدی چیست؟,1
619,شریان بعدی چیست؟,1
620,نام وابستگی ای که در آیه قبلی به آن اشاره کرده است، چه نامی دارد؟,1
621,چه کسی دو فرمان به جامعه ایمانی می دهد؟,1
622,آیا ایها الدفین المنوا به جامعه ایمانی چند فرمان می دهد؟,-1
623,علت بی اتفاقی به پیش لا تهلکوم چه است؟,-1
624,کیه با مؤمنین چند فرمان پیشنهاد کرد؟,-1
625,ولن آخر چه آیه ای است؟,1
626,آیه قبلی ولن آخری چیه؟,1
627,نام وابستگی که وی در آیه قبلی ذکر کرد چیست؟,1
628,چه کسی دو فرمان را به جامعه ایمان می دهد؟,-1
629,ایها الدین الامینوا به جامعه ایمان چند دستورات می دهد؟,-1
630,علت بیواره شدن در پیش از لا طاوولکوم چیست؟,-1
631,KIH چند فرمان را با مؤمنان پیشنهاد داد؟,-1
632,چه آیه ای از آخرین مورد است؟,-1
633,آیه قبلی Volen آخرین مورد چیست؟,0
634,آل زین الدباوا در آیه قبلی چه اشاره ای شده بود؟,-1
635,الزين الدباوا چند تا دستور داره؟,-1
636,چند تا دستور براي جامعه ايمان وجود داره؟,-1
637,آیه 11 آیه از چه آیه ای است؟,-1
638,والنی یاخار الله نفسا چه دارد؟,0
639,آل -زین الداباوا در آیه قبلی ذکر شد؟,0
640,ال -زین الداباوا چند دستورات دارد؟,0
641,چند دستور به جامعه ایمان وجود دارد؟,-1
642,آیه 11 از چه آیه ای است؟,-1
643,والی یاخار الله نفسا چیست؟,0
644,آخرین نسخه مقررات تکمیلی تعرفه برق چه زمانی بود؟,1
645,چند شرکت تعرفه برق تکمیلی برای اجرا ابلاغ شده است؟,-1
646,چند شرکت برای اجرا مطلع نشده اند؟,-1
647,تعرفه های تکمیلی برق برای انعکاس از کجا ابلاغ شده است؟,-1
648,وزارت انرژی چه گفت که قرار است هفته گذشته جلسه ای داشته باشد تا دیدگاه هایی را که شرکت ها ارسال کرده اند خلاصه کنند؟,-1
649,چگونه می توانیم مقررات جدید را ارتباط برقرار کنیم؟,-1
650,آخرین نسخه مقررات تکمیلی در مورد تعرفه برق چه زمانی بود؟,1
651,چند شرکت تعرفه برق تکمیلی برای اجرای ارتباط برقرار شده است؟,-1
652,چند شرکت برای اجرای آن مطلع نشده اند؟,-1
653,تعرفه های برق تکمیلی برای تأمل از کجا ابلاغ شده است؟,-1
