index,question,label
1224,فسفر روی کلسیم پتاسیم سدیم پتاسیم پتاسیم که توسط آن آزمایش شده است ، چه نوع فسفر است؟,-1
1225,به چه چیزی خدمت می کنیم؟,1
1226,دو یونی که در داخل سلول کار می کنند چیست؟,1
1227,دو نوع یونی که در داخل سلول کار می کنند چیست؟,1
1228,دلیل محتوا هم چه است و حداقل محتوای منسجم، ممکن است نفهمیم؟,-1
1229,وقتی مسیر آیات را در مرحله دوم مسیر آیات دنبال می کنیم، می بینیم که بعضی جاها چه هستند؟,-1
1235,دلیل محتوا نیز و حداقل محتوای منسجم ممکن است درک نکنیم؟,-1
1401,برای پیدا کردن لینک گمشده ببینیم قرآن چیه؟,1
1402,تعالیم خدا برای ما در قالب کتاب برای ما چه است؟,0
1403,وظيفه محوري ما در مورد قرآن چيه؟,1
1404,این دو گروه به چه چیزی توجه نکردند؟,1
1405,چه پاسخ دوم سعی کرد به پایان نگاه کند ، اما نگفت که اکنون ما قصد داریم این پایان را بدست آوریم ، چه کاری انجام دهیم.,0
1406,پاسخ دوم به قرآن چه گفت؟,1
1407,در وسط چیز گمشده چیست؟,1
1408,برای یافتن پیوند مفقود ، بیایید ببینیم قرآن چیست؟,0
1409,آموزه های خدا برای ما در قالب کتاب برای ما چیست؟,0
1410,وظیفه اصلی ما نسبت به قرآن چیست؟,1
1411,این دو گروه به چه چیزی توجه نکردند؟,1
1412,ابتدا در مورد قرآن به چه چیزی می رویم؟,1
1413,چند طیف پاسخی برای این موضوع وجود دارد؟,-1
1414,اولین گروه از مردم که می گویند "آقا، قرآن یک کلمه مقدس است، قرآن است,0
1415,ما بايد در مورد چيکار کنيم؟,-1
1416,قرآن چيه؟,1
1417,در مورد قرآن چه باید بکنیم؟,1
1418,در مورد قرآن چه می خواهم بکنم؟,1
1419,برای اولین بار در مورد قرآن چه می کنیم؟,1
1420,چند طیف پاسخ برای این مسئله وجود دارد؟,1
1421,اولین گروه از افرادی که می گویند "آقا ، قرآن یک کلمه مقدس است ، قرآن است,-1
1422,در مورد چه کاری باید انجام دهیم؟,1
1423,قرآن چیست؟,1
1424,ما در مورد قرآن چه کاری باید انجام دهیم؟,1
1425,من می خواهم در مورد قرآن چه کنم؟,1
1426,کلام مقدس قرآن چيه؟,1
1427,قرآن به چه معناست؟,1
1428,قرآن چيه؟,1
1429,پاسخ دیگری به قرآن است؟,1
1430,هدف قرآن چيه؟,1
1431,قرآن چه ارتباطي داره؟,1
1432,ما چه ارتباطي با قرآن داريم؟,1
1433,ما چه ارتباطي با قرآن داريم؟,1
1434,قرآن درباره قرآن چه می گوید؟,1
1435,کلمه مقدس قرآن چیست؟,1
1436,قرآن به چه معنی است؟,1
1437,قرآن چیست؟,1
1438,پاسخ دیگری به قرآن چیست؟,1
1439,هدف قرآن چیست؟,1
1440,قرآن با چه ارتباطی دارد؟,-1
1441,با قرآن چه ارتباطی داریم؟,1
1442,با قرآن چه ارتباطی داریم؟,1
1443,قرآن درباره قرآن چه می گوید؟,1
1444,چه چیزی اجازه نمی دهد؟,1
1445,عفونت در تشخیص آزمایشگاهی چه نقطه ای دارد؟,1
1446,میزان میکروارگانیسم هایی که کشت کرده ایم چه مقدار است؟,1
1447,حاصل کشت شما چيه؟,1
1501,تفاوت بین کودک و کودک چیست؟,1
1502,چند سال کودکان در استرنوم هستند؟,1
1503,چه عواملی باعث منفجر شدن بدن خارجی از ریه می شود؟,-1
1504,در کودکان و بزرگسالان چه فرقی دارد؟,1
1505,معمولا ً چند دست تا ته دستمان می خوابیم؟,0
1506,نام کسی که به بدنش فشار مستقیم وارد می کند چه نامی دارد؟,-1
1507,در کودکان و بزرگسالان چه تفاوتی دارد؟,1
1508,ما معمولاً چند دست را به پایین دست خود می خوابیم؟,-1
1548,سوالی دوم که ما قبل از رفتن به سوال دوم پاسخ دادیم چیست؟,-1
1549,کاربر در مورد یک محصول چه می داند؟,1
1550,منظور ما دقیقاً چه کاری با این جزئیات دقیق انجام می شود؟,-1
1551,چند کاربر دیگر وجود دارد؟,1
1552,مدیر جمع آوری چه کسی است؟,1
1553,برخی از مردم دنیا که از این آناپ استفاده می کنند چه هستند؟,0
1554,ما چه می خواهیم یک دسته بر اساس گروه های ما برای انجام کارهای مختلف با این محصول؟,-1
1555,مدیر مجموعه اینا کیان چند گروه به این سوال پاسخ داد؟,0
1556,نام یک فرد یا دسته ای که اکنون نمی تواند فرد باشد چه می تواند محصولی تولید کند؟,-1
1557,چه روشن است که این کاربر مبهم نیست؟,-1
1558,مدیر مجموعه کیست؟,1
1559,برخی از مردم جهان که از این ANAP استفاده می کنند چیست؟,0
1560,ما می خواهیم یک مقوله بر اساس گروه های خود کارهای مختلفی را با این محصول انجام دهند؟,-1
1561,مدیر مجموعه Inna Kian چند گروه به این سؤال پاسخ داد؟,0
1562,نام شخص یا مقوله ای که اکنون نمی تواند شخص نباشد می تواند محصولی تولید کند؟,0
1563,مشخص است که این کاربر مبهم نیست؟,1
1564,دندان های اکسل چقدر قد دارد؟,1
1565,چه اتفاقی می افتد زمانی که کارتریج اکسل حرکت می کند با تبدیل کارتریج اکسل؟,-1
1566,کارتریج های زاویه ای با تبر چه زاویه ای دارند؟,1
